Scientific Name	Scientific Name Synonyms	English Name	English Name Synonyms	Species Code	Element Code	Global Status	Global Status Review Date	Prov Status	Prov Status Review Date	Prov Status Change Date	COSEWIC	COSEWIC Comments	BC List	Provincial FRPA	Land Use Objectives	Ecosection	Prov Wildlife Act	GOERT	MBCA	SARA	SARA Comments	General Status Canada	CITES	Name Category	Class (English)	Species Level	Kingdom	Phylum	Class	Order	Family	Forest Dist	MOE Region	Regional Dist	Municipality	BGC	Habitat Subtype	Origin	Presence	Breeding Bird	Ecosystem Group	Endemic	CDC Maps	Mapping Status	
Copablepharon absidum		Columbia Dune Moth		LE-COPABS	IILEYKP030	GNR		SH	August 28, 2009	August 28, 2009	DD (Apr 2017)	 	Red	 		 						 		Invertebrate Animal	insects	Species	Animalia	Mandibulata	Insecta	Lepidoptera	Noctuidae	DCS;DKL;DOS	3;4;8	CKRD;SLRD;OSRD	 	BG;ICH	Sand Dune	Native	Regularly occurring		 	N	N		
Copablepharon fuscum		Sand-verbena Moth		LE-COPFUS	IILEYKP140	G1G2	August 14, 2004	S1	April 07, 2006	April 07, 2006	E (Nov 2013)	 	Red	 		 				1-E (Jul 2005)		 		Invertebrate Animal	insects	Species	Animalia	Mandibulata	Insecta	Lepidoptera	Noctuidae	DCR;DSI	1	CRD;ACRD;CXRD	 	CDF		Native	Regularly occurring		 	N	Y		
Coregonus artedi		Cisco		F-COAR	AFCHA01020	G5	August 17, 2015	S2	March 15, 2019	May 10, 2010	 	 	Red	 		 						4 - Secure (2005)		Vertebrate Animal	ray-finned fishes	Species	Animalia	Craniata	Actinopterygii	Salmoniformes	Salmonidae	DFN	9	NRRD	Northern Rockies	BWBS		Native	Regularly occurring		 	N	Y		
Coregonus autumnalis		Arctic Cisco		F-COAU	AFCHA01030	G5	November 04, 2011	S1S2	May 15, 2019	May 10, 2010	 	 	Red	 		 						3 - Sensitive (2005)		Vertebrate Animal	ray-finned fishes	Species	Animalia	Craniata	Actinopterygii	Salmoniformes	Salmonidae	DFN	9	NRRD	Northern Rockies	BWBS		Native	Regularly occurring		 	N	Y		
Coregonus nasus		Broad Whitefish		F-CONA	AFCHA01090	G5	August 02, 2016	S2	May 15, 2019	May 15, 2019	 	 	Red	 		 						4 - Secure (2005)		Vertebrate Animal	ray-finned fishes	Species	Animalia	Craniata	Actinopterygii	Salmoniformes	Salmonidae	DSS_C	6	SKRD	 	BWBS		Native	Regularly occurring		 	N	Y		
Coscinodon cribrosus		 		COSCCRI	NBMUS96020	G3G4	May 27, 2015	S2	April 29, 2015	April 29, 2015	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Grimmiales	Grimmiaceae	DKA;DOS	3;8	TNRD;CORD;OSRD	 	BG;IDF		Native	Regularly occurring		 	N	Y		
Cottus aleuticus pop. 1	Cottus aleuticus;Cottus sp. 2	Cultus Pygmy Sculpin	Cultus Lake Sculpin;Cultus Pygmy Sculpin	F-COSP-02	AFC4E02270	G1G2	May 11, 2010	S1S2	May 15, 2019	May 11, 2010	T (Apr 2010)	 	Red	 		 				1-T (Jun 2003)		1 - At Risk (2000)		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Scorpaeniformes	Cottidae	DCK	2	FVRD	 	CWH		Native	Regularly occurring		 	Y	Y		
Cottus sp. 9		Rocky Mountain Sculpin		F-COSP-04	AFC4E02380	G3G4	January 20, 2009	S2	May 15, 2019	May 15, 2019	SC (Apr 2010)	 	Red	 		 				1-SC (May 2017)		4 - Secure (2000)		Vertebrate Animal	ray-finned fishes	Species	Animalia	Craniata	Actinopterygii	Scorpaeniformes	Cottidae	DRM	4	EKRD	 	 		Native	Regularly occurring		 	N	Y		
Coturnicops noveboracensis		Yellow Rail		B-YERA	ABNME01010	G4	April 07, 2016	S2B	March 05, 2015	December 15, 2010	SC (Nov 2009)	 	Red	 		 			Y	1-SC (Jun 2003)		3 - Sensitive (2005)		Vertebrate Animal	birds	Species	Animalia	Craniata	Aves	Gruiformes	Rallidae	DCO;DPC	4;9	FFRD;PRRD	 	BWBS;MS	Marsh;Meadow	Native	Regularly occurring	Y	 	N	Y		
Couesius plumbeus pop. 2	Couesius plumbeus pop. 1	Lake Chub - Liard Hot Springs Populations	Lake Chub - Hotsprings Ecotype	F-COPL-02	AFCJB06012	G5TNR		S1S2	May 15, 2019	May 15, 2019	T (Dec 2018)	 	Red	 		 						 		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Cypriniformes	Cyprinidae	DFN	9	 	 	BWBS		Native	Regularly occurring		 	Y	Y		
Couesius plumbeus pop. 3	Couesius plumbeus pop. 1	Lake Chub - Atlin Warm Springs Populations	Lake Chub - Hotsprings Ecotype	F-COPL-03	AFCJB06013	G5TNR		S1	May 15, 2019	May 15, 2019	T (Dec 2018)	 	Red	 		 						 		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Cypriniformes	Cyprinidae	DSS	6	SKRD	 	BWBS;SWB		Native	Regularly occurring		 	Y	 		
Crataegus okanaganensis var. longispina		Okanagan Hawthorn		CRATOKA3	PDROS0H891	G4TNR		S2	April 30, 2017	April 30, 2017	 	 	Red	 		 						 		Vascular Plant	dicots	Variety	Plantae	Anthophyta	Dicotyledoneae	Rosales	Rosaceae	 	 	 	 	 		Native	Regularly occurring		 		Y		
Crepis acuminata ssp. acuminata		Long-leaved Hawksbeard		 	PDAST2R011	G5T4T5	March 07, 2003	S1	April 30, 2019		 	 	Red	 		 						 		Vascular Plant	dicots	Subspecies	Plantae	Anthophyta	Dicotyledoneae	Asterales	Asteraceae	DRM	4	EKRD	 	ESSFdk		Native	Regularly occurring		 		Y		
Crepis modocensis ssp. modocensis		Low Hawksbeard		CREPMOD1	PDAST2R0A2	G4G5T4	October 01, 1987	S1	March 31, 2013	April 30, 1996	 	 	Red	 		 						 		Vascular Plant	dicots	Subspecies	Plantae	Anthophyta	Dicotyledoneae	Asterales	Asteraceae	DCC;DKA	3;5	TNRD;CBRD	 	BGxh;BGxw;IDFxh;IDFxm;PPxh	Grassland;Sagebrush Steppe	Native	Regularly occurring		 	N	Y		
Crepis modocensis ssp. rostrata		Western Low Hawksbeard		CREPMOD2	PDAST2R0A3	G4G5T3T4	August 26, 2016	S2	March 31, 2018	March 31, 2018	 	 	Red	 		 						 		Vascular Plant	dicots	Subspecies	Plantae	Anthophyta	Dicotyledoneae	Asterales	Asteraceae	DCS;DKA	3	TNRD	 	BGxh	Sagebrush Steppe	Native	Regularly occurring		 	N	Y		
Crepis occidentalis ssp. pumila		Gray Hawk's-beard		CREPOCC3	PDAST2R0E4	G5T5	February 26, 1996	S1	March 31, 2011	March 31, 2011	 	 	Red	 		 						 		Vascular Plant	dicots	Subspecies	Plantae	Anthophyta	Dicotyledoneae	Asterales	Asteraceae	DCS	8	OSRD	 	IDFdk	Sagebrush Steppe	Native	Regularly occurring		 	N	Y		
Cryptomastix devia		Puget Oregonian		MO-CRYDEV	IMGAS93010	G2	November 20, 2017	SX	December 01, 2015	December 31, 2002	XT (Apr 2013)	 	Red	 		 				1-XX (Jan 2005)		 		Invertebrate Animal	gastropods	Species	Animalia	Mollusca	Gastropoda	Stylommatophora	Polygyridae	DCK;DSI	1;2	MVRD;CRD;FVRD	 	CDF;CWH	Riparian Forest;Mixed Forest (deciduous/coniferous mix)	Native	Regularly occurring		 	N	Y		
Daltonia splachnoides		Dalton's Moss		DALTSPL	NBMUS23010	G1G2	July 17, 1997	S1	April 29, 2015		E (May 2019)	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Hookeriales	Daltoniaceae	DQC	6	SQCRD	 	CWH		Native	Regularly occurring		 	N	Y		
Danthonia intermedia - Vaccinium scoparium - Eremogone capillaris - Selaginella densa		Timber oatgrass - Grouseberry - Thread-leaved sandwort - Compact selaginella		 	CEBC003139	GNR		S2	April 29, 2019	April 29, 2019	 	 	Red	 		 						 		Ecological Community		 	Plant Community	 	 	 	 	 	 	 	 	ESSFdk1/Ag01;ESSFdkp/Ag01;ESSFdkw/Ag01;ESSFwmw/Ag01;IMAun/Ag01					 		Y		
Dendriscosticta oroborealis	Sticta oroborealis	Lesser green moon		STICORO	NLT0089580	G1G2	November 09, 2004	S1S3	April 30, 2019	April 30, 2019	 	 	Red	 		 						 		Fungus		Species	Plantae	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Dendriscosticta wrightii	Sticta wrightii	Greater green moon		STICWRI	NLT0028560	GNR		S1S3	April 30, 2019	April 30, 2019	 	 	Red	 		 						 		Fungus		Species	Plantae	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	DPG	7	FFRD	 	ESSFwcp		Native	Regularly occurring		 	N	Y		
Dermatocarpon atrogranulosum		Charred stippleback		DERMATR	NLCAL4K150	GNR		S2	April 29, 2019	April 29, 2019	 	 	Red	 		 						 		Fungus		Species	Plantae	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Dermatocarpon moulinsii		Shag-belly stippleback		DERMMOU	NLSPH52170	GNR		S2?	April 29, 2019	April 29, 2019	 	 	Red	 		 						 		Fungus		Species	Plantae	Ascomycota	Eurotiomycetes	Verrucariales	Verrucariaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Dermochelys coriacea		Leatherback		R-DECO	ARAAC01010	G2	February 24, 2014	S1N	April 30, 2018	March 30, 2018	E (May 2012)	Dermochelys coriacea pop. 1 (Pacific population).	Red	 		 				1-E (May 2017)		 		Vertebrate Animal	turtles	Species	Animalia	Craniata	Chelonia	Cryptodeira	Dermochelyidae	DCR;DNC;DNI;DQC;DSI	 	 	Ucluelet;Tofino;Victoria;Massett;Sooke;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Colwood;North Saanich;Sidney;Metchosin;Parksville;Esquimalt;Saanich;Nanaimo	CWH	Kelp Bed;Intertidal Marine;Subtidal Marine;Marine Island;Reefs;Eelgrass Beds;Sheltered Waters - Marine;Pelagic	Native	Regularly occurring		 	N	N	Non-breeder that occurs in varying locations along the coast. Mapping locations would not result in useful occurrences as there is no regularity in where they occur.	
Deroceras hesperium		Evening Fieldslug		MO-DERHES	IMGAS87020	G2Q	February 22, 2013	SH	December 01, 2015		DD (Nov 2003)	 	Red	 		 						 		Invertebrate Animal	gastropods	Species	Animalia	Mollusca	Gastropoda	Stylommatophora	Limacidae	DCR	1	CRD;CXRD;STRD	Delta;Ucluelet;Tofino;Lake Cowichan;Sayward;Victoria;Anmore;Port Moody;Highlands;Cumberland;Langford;Richmond;Zeballos;Tahsis;Lions Bay;Gibsons;Sooke;Bowen Island;Central Saanich;Langley (City);Lantzville;Sechelt (Indian Government);Pitt Meadows;Port Coquitlam;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Comox;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Campbell River;Courtenay;Powell River;Sechelt;North Vancouver (District);North Vancouver (City);Burnaby;Esquimalt;North Cowichan;Port Alberni;New Westminster;Saanich;Ladysmith;Nanaimo;Duncan;Coquitlam;West Vancouver;Maple Ridge;Belcarra;Gold River	CWH	Conifer Forest - Moist/wet;Mixed Forest (deciduous/coniferous mix)	Native	Regularly occurring		 	N	Y		
Deschampsia cespitosa - Sidalcea hendersonii		Tufted Hairgrass - Henderson's Checker-mallow		 	C5E2ADSSH1	G2		S1S2	October 31, 2004	September 20, 1991	 	 	Red	 		JOS;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCR;DSI	1	CRD;CVRD;RDN;CXRD;STRD	Cumberland;Lantzville;Qualicum Beach;Comox;Parksville;Campbell River;Courtenay;North Cowichan;Ladysmith;Nanaimo	CWHxm1/00					Estuarine Realm: Estuarine Marsh Class (Em)		Y		
Deschampsia cespitosa Community		Tufted Hairgrass Community		 	CEBC001019	G4		S2	March 30, 2018	March 30, 2018	 	 	Red	 		BBT;CAB;CAP;CCR;CHP;COC;CPK;CPR;EKT;ELV;EPM;FLV;FRB;GUU;HOR;LPR;MCR;NAU;NIB;NOB;NOH;NTU;OKR;PAR;QUL;SCR;SFH;SHB;SOB;SOH;SPK;SPM;SRH;THB;TRU;UCV;WCR;WCU;WOU						 		Ecological Community		 	Plant Community	 	 	 	 	DAB;DCC;DCH;DCK;DCO;DCS;DKA;DMH;DNI;DOS;DPG;DQU;DRM;DVA	3;4;5;7;8	EKRD;SLRD;TNRD;CORD;NORD;CSRD;CBRD;CCRD;KBRD;OSRD;FVRD	Cranbrook;Invermere;Radium Hot Springs;100 Mile House;Greenwood;Clinton;Elkford;Barriere;Canal Flats;West Kelowna;Sun Peaks Mountain Resort;Kimberley;Golden;Lake Country;Midway;Coldstream;Williams Lake;Sparwood;Logan Lake	MSxv/Gs04;SBPSdc/Gs04;SBPSxc/Gs04;SBPSxc/W3					Terrestrial Realm - Grassland Group (G): Alkaline/Saline Meadow Class (Ga);Wetland Realm - Mineral Wetland Group: Marsh Wetland Class (Wm)		N		
Deschampsia cespitosa ssp. beringensis - Hordeum brachyantherum		Tufted Hairgrass - Meadow Barley		 	CEBC003028	G3		S2	May 24, 2013	May 24, 2013	 	 	Red	 	Haida Gwaii LUO	CNS;CPR;DIE;FRL;GEL;HEL;HES;JDF;JOS;KIM;KIR;LIM;MEM;NAL;NAM;NCF;NIM;NPR;NWL;OUF;QCL;QCR;QCS;QCT;SBR;SGI;SKP;SOG;SPR;VIS;WIM						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DKM;DNC;DNI;DQC;DSC;DSI;DSQ	2;5;6	MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD	Delta;Ucluelet;Tofino;Sayward;Victoria;Massett;Anmore;Port Moody;Highlands;Langford;Richmond;Port Hardy;Alert Bay;Port McNeill;Port Alice;Tahsis;Lions Bay;Gibsons;Sooke;Bowen Island;Central Saanich;Lantzville;Queen Charlotte (Village);Pitt Meadows;Port Coquitlam;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;Comox;Colwood;Squamish;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Campbell River;Courtenay;Powell River;Sechelt;North Vancouver (District);North Vancouver (City);Burnaby;Esquimalt;North Cowichan;Port Alberni;New Westminster;Saanich;Port Clements;Ladysmith;Nanaimo;Prince Rupert;Coquitlam;West Vancouver;Port Edward;Belcarra;Kitimat;Gold River	CDFmm/Ed01;CWH/Ed01					Estuarine Realm: Estuarine Meadow Class (Ed)	Y	N		
Deschampsia cespitosa ssp. beringensis - Symphyotrichum subspicatum		Tufted Hairgrass - Douglas' Aster		 	CEBC003027	G3		S2	May 24, 2013	May 24, 2013	 	 	Red	 	Haida Gwaii LUO	FRL;GEL;HEL;KIM;KIR;LIM;NAL;NIM;NPR;NWL;OUF;QCL;QCR;SBR;SGI;SKP;SOG;SPR;WIM						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DKM;DNC;DNI;DQC;DSC;DSI;DSQ	1;2;5;6	MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD;KSRD	Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/Ed02;CWH/Ed02					Estuarine Realm: Estuarine Meadow Class (Ed)	Y	N		
Dicranum fuscescens var. flexicaule		 		DICRFUS3	NBMUS2B091	G5TNR		S1	March 31, 2011	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Variety	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Dicranum majus var. orthophyllum		 		DICRMAJ2	NBMUS2B0C2	G5TNR	June 01, 2015	S1S2	March 31, 2011	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Variety	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	DMK	7	PRRD	 	SWB		Native	Regularly occurring		 	N	Y		
Didymodon asperifolius		 		DIDYASP	NBMUS2C010	G4G5	August 08, 2017	S2	April 29, 2015	April 29, 2015	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	DFN;DSS_C	6;9	KSRD;SKRD;NRRD	 	SWB		Native	Regularly occurring		 	N	Y		
Didymodon brachyphyllus		 		DIDYVIN1	NBMUS2C0L0	GNR		S1S2	April 29, 2015	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	DCC;DOS	5;8	TNRD;OSRD	 	BG;IDF;PP		Native	Regularly occurring		 	N	Y		
Didymodon giganteus		 		DIDYGIG	NBMUS30010	G5?	July 24, 2000	S2	April 29, 2015	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	DQC	6	SQCRD	 	CWH;MH		Native	Regularly occurring		 	N	Y		
Didymodon leskeoides		 		DIDYLES	NBMUS2C040	G2G4	July 31, 2000	S1	April 29, 2015		 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	DNC	6	SQCRD	 	CWH		Native	Regularly occurring		 	N	Y		
Didymodon maschalogena	Barbula michiganensis;Didymodon michiganensis	 		DIDYMAS	NBMUS2C0C0	G1G2	December 15, 1999	S1	April 29, 2015	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Didymodon nicholsonii		 		DIDYNIC	NBMUS2C0A4	GNR	June 23, 2015	S1	April 29, 2015		 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Didymodon norrisii		 		DIDYNOR	NBMUS2C0H0	G4	June 04, 2014	S1S3	April 29, 2015		 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Didymodon subandreaeoides		 		DIDYSUB	NBMUS2C090	G4G5	May 28, 2015	S1S3	April 29, 2015	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	DCO;DFN;DMK;DPC;DQC;DRM	4;6;7;9	EKRD;CSRD;SQCRD;PRRD;NRRD	 	CWH;ESSF		Native	Regularly occurring		 	N	Y		
Discelium nudum		 		DISCNUD	NBMUS2E010	G3G4	January 14, 1999	S1	April 29, 2015	March 31, 2014	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Funariales	Disceliaceae	DCK;DQC	2;6	MVRD;SQCRD	 	CDF;CWH		Native	Regularly occurring		 	N	Y		
Distichlis spicata - Sarcocornia pacifica		Seashore Saltgrass - Pacific Swampfire		 	CEBC003062	GNR	December 30, 2008	S1S2	February 28, 2018	February 28, 2018	 	 	Red	 		FRL;GEL;JDF;JOS;LIM;NAL;OUF;SGI;SOG;SPR						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DSC;DSI;DSQ	1;2	MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD;SLRD	Delta;Victoria;Highlands;Langford;Richmond;Gibsons;Sooke;Bowen Island;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Surrey;White Rock;View Royal;Comox;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Campbell River;Courtenay;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;West Vancouver	CDFmm/Em03;CWHxm1/Em03					Estuarine Realm: Estuarine Marsh Class (Em)		Y		
Downingia elegans		Common Downingia		DOWNELE	PDCAM06060	G5	October 01, 1987	SX	April 30, 2019	April 29, 2015	 	 	Red	 		 						2 - May be at risk (2010)		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Campanulales	Campanulaceae	DKL	4	CKRD	 	IDFdw	Vernal Pools/Seasonal Seeps;Riparian Forest;Riparian Shrub;Riparian Herbaceous;Gravel Bar	Native	Regularly occurring		 	N	Y		
Draba glabella		Smooth Draba		DRABGLA	PDBRA11100	G5	August 31, 2015	SH	April 30, 2019	March 31, 2018	 	 	Red	 		 						4 - Secure (2010)		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Capparales	Brassicaceae	 	 	 	 	 		Native	Regularly occurring		 		Y		
Dryobates albolarvatus	Picoides albolarvatus	White-headed Woodpecker		B-WHWO	ABNYF07070	G4	April 09, 2016	S1	March 05, 2015	October 06, 2000	E (Nov 2010)	 	Red	Y (May 2004)		 			Y	1-E (Jun 2003)		1 - At Risk (2005)		Vertebrate Animal	birds	Species	Animalia	Craniata	Aves	Piciformes	Picidae	DAB;DCS;DOS	8	KBRD;OSRD	 	BG;ICH;IDF;PP	Riparian Forest;Conifer Forest - Mesic (average);Conifer Forest - Dry;Mixed Forest (deciduous/coniferous mix)	Native	Regularly occurring	Y	 	N	Y		
Dulichium arundinaceum Herbaceous Vegetation		Three-way Sedge		 	CEBC003029	GNR		S2	July 30, 2004	July 30, 2004	 	 	Red	 	South Central Coast LUO	BBT;CAM;CCM;CPK;EPM;FRL;GEL;JDF;JOS;LIM;NAL;NIM;NKM;NPK;NSH;OUF;QUH;SGI;SOG;SPM;SRH;VIS;WIM						 		Ecological Community		 	Plant Community	 	 	 	 	DAB;DCC;DCK;DCO;DCR;DHW;DKA;DKL;DNI;DOS;DSC;DSI	1;2;3;4;5;7;8	MVRD;CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;CKRD;TNRD;NORD;CSRD;CBRD;MWRD;FFRD	Delta;Lake Cowichan;Sayward;Victoria;Highlands;Cumberland;Langford;Richmond;Sooke;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Campbell River;Powell River;Sechelt;Revelstoke;Esquimalt;North Cowichan;Port Alberni;Saanich;Ladysmith;Nanaimo;Duncan;Gold River	CDFmm/Wm51;CWHmm1/Wm51;CWHxm2/Wm51;ICHwk1/Wm51					Wetland Realm - Mineral Wetland Group: Marsh Wetland Class (Wm)		N		
Echinophyllum sachalinense		 		ECHISAC	NBMUSA6010	GNR		S1	April 29, 2015	March 31, 2011	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Hypnales	Helodiaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Efferia okanagana	Efferia sp. 1	Okanagan Efferia	Okanagan Robber Fly	DI-EFFOKA	IIDIP07030	G2	February 14, 2012	S1S2	April 01, 2019	April 01, 2019	E (Nov 2011)	 	Red	 		 				1-E (Feb 2017)		 		Invertebrate Animal	insects	Species	Animalia	Mandibulata	Insecta	Diptera	Asilidae	 	 	 	 	 		Native	Regularly occurring		 	Y	Y		
Elatine brachysperma		Short-seeded Waterwort		ELATBRA	PDELT02030	G5	August 04, 1988	S1	April 30, 2019	April 29, 2015	 	 	Red	 		 						2 - May be at risk (2010)		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Theales	Elatinaceae	DSI	1	 	 	CWHxm	Bog;Fen;Swamp;Marsh	Native	Regularly occurring		 	N	Y		
Eleocharis atropurpurea		Purple Spike-rush		ELEOATR	PMCYP09040	G4G5	August 28, 2002	S1	April 30, 2019	March 31, 2014	 	 	Red	 		 						2 - May be at risk (2005)		Vascular Plant	monocots	Species	Plantae	Anthophyta	Monocotyledoneae	Cyperales	Cyperaceae	DOS	8	OSRD	 	BGxh		Native	Regularly occurring		 		Y		
Eleocharis geniculata		Bent Spike-rush		ELEOGEN	PMCYP090T0	G5	July 27, 2016	S1S2	April 30, 2019	April 30, 2019	E (Apr 2009)	 	Red	 		 				1-E (Feb 2011)		1 - At Risk (2010)		Vascular Plant	monocots	Species	Plantae	Anthophyta	Monocotyledoneae	Cyperales	Cyperaceae	DOS	8	OSRD	 	BGxh	Bog;Fen;Swamp;Marsh;Riparian Shrub	Native	Regularly occurring		 	N	Y		
Eleocharis quinqueflora / Drepanocladus spp.		Few-flowered Spike-rush / Hook-mosses		 	CEBC003031	GNR		S2	July 30, 2004	July 30, 2004	 	 	Red	 	Central and North Coast LUO	BAU;BUB;BUR;CAB;CBR;CCR;CHP;CPR;CRU;ESM;GUU;HOR;KIM;MAP;NAU;NBR;NEL;NEU;NIB;NOB;NOH;NOM;NSM;NTU;OKR;PAR;QUL;SBP;SCR;SHB;SOM;SSM;STH;STP;TAG;TEP;THH;TRU;WCR;WCU;WOU						 		Ecological Community		 	Plant Community	 	 	 	 	DCC;DCH;DCK;DCS;DJA;DKA;DKM;DMH;DMK;DND;DNI;DOS;DPG;DQU;DSS;DVA	3;5;6;7;8	SLRD;TNRD;CORD;NORD;CSRD;CBRD;CCRD;KSRD;BNRD;PRRD;SKRD;OSRD;FVRD	Houston;Fraser Lake;Granisle;West Kelowna;Logan Lake	ESSFmc/Wf09;ESSFxc/Wf09;ESSFxc3/;ESSFxv1/Wf09;MSdm2/Wf09;MSxv/Wf09;SBPSxc/Wf09;SBSmc2/Wf09					Wetland Realm - Peatland Group: Fen Wetland Class (Wf)		N		
Elmera racemosa		Elmera		ELMERAC	PDSAX0B010	G4G5	July 16, 1984	S2	April 30, 2019	April 30, 2017	 	 	Red	 		 						 		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Rosales	Saxifragaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Enallagma civile		Familiar Bluet		OD-ENACIV	IIODO71130	G5	May 22, 2015	SH	February 20, 2015	April 22, 2015	 	 	Red	 		 						4 - Secure (2005)		Invertebrate Animal	insects	Species	Animalia	Mandibulata	Insecta	Odonata	Coenagrionidae	DMH	5	TNRD	 	IDF;MH;SBPS;SBS	Marsh;Pond/Open Water	Native	Regularly occurring		 	N	Y		
Endogemma caespiticia	Jungermannia caespiticia	 		JUNGCAE	NBHEP1P020	G4	April 24, 1991	SH	April 29, 2015	April 29, 2015	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Hepatophyta	Jungermanniopsida	Jungermanniales	Endogemmataceae	 	 	 	 	 		Native	Regularly occurring		 		N		
Entodon schleicheri		Schleicher's Silk		ENTOSCH	NBMUS2N100	G3G5	July 12, 2002	S1	April 29, 2015	March 31, 2011	DD (May 2005)	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Hypnales	Entodontaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Entosphenus macrostomus	Lampetra macrostoma	Cowichan Lake Lamprey	Lake Lamprey;Vancouver Island Lake Lamprey;Vancouver Lamprey	F-ENMA	AFBAA02120	G1G2	October 18, 2019	S2	May 15, 2019	May 15, 2019	T (Dec 2017)	 	Red	 		 				1-T (Jun 2003)		1 - At Risk (2005)		Vertebrate Animal	Lampreys	Species	Animalia	Craniata	Petromyzontida	Petromyzontiformes	Petromyzontidae	DCR;DNI;DSI	1	CVRD	Lake Cowichan	CWH		Native	Regularly occurring		 	Y	Y		
