Scientific Name	Scientific Name Synonyms	English Name	English Name Synonyms	Species Code	Element Code	Global Status	Global Status Review Date	Prov Status	Prov Status Review Date	Prov Status Change Date	COSEWIC	COSEWIC Comments	BC List	Provincial FRPA	Land Use Objectives	Ecosection	Prov Wildlife Act	GOERT	MBCA	SARA	SARA Comments	General Status Canada	CITES	Name Category	Class (English)	Species Level	Kingdom	Phylum	Class	Order	Family	Forest Dist	MOE Region	Regional Dist	Municipality	BGC	Habitat Subtype	Origin	Presence	Breeding Bird	Ecosystem Group	Endemic	CDC Maps	Mapping Status	
Pinus ponderosa / Pseudoroegneria spicata - Festuca campestris		Ponderosa Pine / Bluebunch Wheatgrass - Rough Fescue		 	C2A2APPAF4	GNR		S2	June 19, 2013	June 19, 2013	 	 	Red	 		CAB;GUU;NIB;NOB;OKR;PAR;SCR;SOB;THB;TRU						 		Ecological Community		 	Plant Community	 	 	 	 	DCS;DKA;DOS	3;8	SLRD;TNRD;CORD;OSRD	Cache Creek;Ashcroft;Osoyoos;Penticton;West Kelowna;Kamloops;Kelowna;Princeton;Summerland;Lake Country;Merritt;Peachland;Logan Lake;Lytton;Lillooet	BGxw1/05;PPxh1/05;PPxh2/01					Terrestrial Realm - Forest: Coniferous - mesic		Y		
Pinus ponderosa / Pseudoroegneria spicata - Lupinus sericeus		Ponderosa Pine / Bluebunch Wheatgrass - Silky Lupine		 	CEBC000415	GNR		S1	January 18, 2018	January 18, 2018	 	 	Red	Y (Jun 2006)		EKT;SOH						 		Ecological Community		 	Plant Community	 	 	 	 	DAB;DRM	4;8	EKRD;KBRD	Cranbrook;Grand Forks;Kimberley;Midway	PPdh1/01;PPdh2/01;PPxh3/					Terrestrial Realm - Forest: Coniferous - mesic		N		
Pinus ponderosa / Rhus glabra		Ponderosa Pine / Smooth Sumac		 	C2A2APPRG1	GNR		S2	June 19, 2013	September 22, 1994	 	 	Red	 		NOB;OKR;SOB						 		Ecological Community		 	Plant Community	 	 	 	 	DOS	8	OSRD	Osoyoos;Penticton;Oliver;Keremeos	BGxh1/05					Terrestrial Realm - Forest: Coniferous - mesic		Y		
Pinus ponderosa / Symphoricarpos albus / Poa spp.		Ponderosa Pine / Common Snowberry / Bluegrasses		 	CEBC000416	GNR		S2	October 31, 2004	March 12, 1993	 	 	Red	 		SOH						 		Ecological Community		 	Plant Community	 	 	 	 	DAB	8	KBRD	Grand Forks;Midway	PPdh1/05;PPxh3/					Terrestrial Realm - Forest: Mixed - moist/wet		N		
Piptatheropsis canadensis	Oryzopsis canadensis;Piptatherum canadense	Canada Ryegrass		PIPTCAA	PMPOA4J030	G4G5	July 07, 2016	S1	April 30, 2019	April 30, 2019	 	 	Red	 		 						4 - Secure (2010)		Vascular Plant	monocots	Species	Plantae	Anthophyta	Monocotyledoneae	Cyperales	Poaceae	DPC	9	 	 	BWBSmw		Native	Regularly occurring		 	N	Y		
Pituophis catenifer catenifer		Gopher Snake, Catenifer Subspecies		R-PICA-CA	ARADB26021	G5T5	February 02, 2016	SX	March 30, 2018	June 30, 1998	XT (May 2012)	 	Red	 		 		Y		1-XX (Jan 2005)		 		Vertebrate Animal	reptiles	Subspecies	Animalia	Craniata	Reptilia	Squamata	Colubridae	DCK;DSI	1;2	CRD;FVRD	Abbotsford	CDF;CWH	Cultivated Field;Rock/Sparsely Vegetated Rock;Talus	Native	Regularly occurring		 	N	Y		
Plagiobothrys figuratus ssp. figuratus	Plagiobothrys figuratus	Fragrant Popcornflower		PLAGFIG1	PDBOR0V192	G4T4	April 01, 1996	S1	April 30, 2019	April 30, 1996	E (Mar 2008)	 	Red	 		 		Y		1-E (Feb 2010)		 		Vascular Plant	dicots	Subspecies	Plantae	Anthophyta	Dicotyledoneae	Lamiales	Boraginaceae	DSI	 	 	 	CDFmm		Native	Regularly occurring		 	N	Y		
Plagiobothrys tenellus		Slender Popcornflower		PLAGTEN	PDBOR0V130	G4G5	May 16, 1988	S1?	April 30, 2019	April 30, 2019	T (Nov 2008)	 	Red	 		 		Y		1-T (Feb 2011)		1 - At Risk (2010)		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Lamiales	Boraginaceae	DSI	1	CRD	 	CDFmm	Meadow;Grassland;Conifer Forest - Dry;Garry Oak Woodland;Garry Oak Coastal Bluffs	Native	Regularly occurring		 	N	Y		
Plagiobryum demissum		 		PLAGDEM	NBMUS5G010	G3G5	June 02, 2000	S1S3	April 29, 2015	April 29, 2015	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Bryales	Bryaceae	DCS;DFN;DMK	3;7;9	TNRD;PRRD;NRRD	 	BAFA;BG;SWB		Native	Regularly occurring		 	N	Y		
Planorbella columbiensis		Caribou Rams-horn		MO-PLACOL	IMGASN0060	GH	February 06, 2015	SH	April 20, 2015	November 19, 2004	 	 	Red	 		 						 		Invertebrate Animal	gastropods	Species	Animalia	Mollusca	Gastropoda	Basommatophora	Planorbidae	DMH	5	CBRD	Cache Creek;Ashcroft;100 Mile House;Chase;Quesnel;Clinton;Wells;Kamloops;Williams Lake;Merritt;Logan Lake;Lytton	SBS	Lake;Pond/Open Water	Native	Regularly occurring		 	N	Y		
Planorbula armigera		Thicklip Rams-horn		MO-PLAARM	IMGASN0020	G5	August 02, 2017	S1S3	April 20, 2015	April 30, 2015	 	 	Red	 		 						 		Invertebrate Animal	gastropods	Species	Animalia	Mollusca	Gastropoda	Basommatophora	Planorbidae	DFN	9	NRRD	Northern Rockies	BWBS	Stream/River;Lake;Pond/Open Water	Native	Regularly occurring		 	N	W	No occurrences mapped.	
Plantago canescens		Arctic Plantain		PLANCAN	PDPLN02080	G4G5	July 06, 2016	S2	April 30, 2019	April 30, 2019	 	 	Red	 		 						4 - Secure (2010)		Vascular Plant	dicots	Species	Plantae	Anthophyta	Dicotyledoneae	Plantaginales	Plantaginaceae	DRM	4	EKRD	 	MSdk	Meadow;Grassland	Native	Regularly occurring		 	N	Y		
Plantago maritima - Puccinellia pumila		Sea Plantain - Dwarf Alkaligrass		 	CEBC003041	G2		S2	July 14, 2004	July 14, 2004	 	 	Red	 		CPR;DIE;HEL;HES;JOS;KIM;KIR;MEM;NAM;NCF;NIM;NPR;OUF;QCS;QCT;SBR						 		Ecological Community		 	Plant Community	 	 	 	 	DCR;DKM;DNC;DNI;DSC	1;2;5;6	STRD;PWRD;MWRD;CCRD;SQCRD;KSRD	Prince Rupert;Port Edward;Kitimat	CWH/Em04					Estuarine Realm: Estuarine Marsh Class (Em)	Y	N		
Platygyrium repens		Platygyrium Moss	Flat-brocade Moss	PLATREP	NBMUS5L020	G5	April 17, 2015	SH	April 30, 2017	April 30, 2017	 	 	Red	 		 						 		Nonvascular Plant		Species	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	 	 	 	 	 		Native	Regularly occurring		 	N	Y		
Plebejus saepiolus insulanus		Greenish Blue, Insulanus Subspecies		LE-PLESAE-IN	IILEPG6013	G5TH	November 29, 2018	SH	March 31, 2013	December 06, 1999	E (May 2012)	 	Red	 		 		Y		1-E (Jun 2003)		 		Invertebrate Animal	insects	Subspecies	Animalia	Mandibulata	Insecta	Lepidoptera	Lycaenidae	DCR;DSI	1	MVRD;CRD;CVRD;RDN;CXRD	Victoria;Highlands;Cumberland;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;View Royal;Comox;North Cowichan;Saanich;Nanaimo;Coquitlam	CDF;CWH	Riparian Forest;Riparian Shrub;Pasture/Old Field;Meadow;Grassland;Deciduous/Broadleaf Forest;Riparian Herbaceous;Gravel Bar	Native	Regularly occurring		 	Y	Y		
Poa fendleriana ssp. fendleriana		Mutton Grass		POA FEN1	PMPOA4Z0V1	G5T5	September 17, 1997	S1S3	March 31, 2018	March 31, 2018	 	 	Red	 		 						 		Vascular Plant	monocots	Subspecies	Plantae	Anthophyta	Monocotyledoneae	Cyperales	Poaceae	DCC;DCS;DKA;DMH;DOS	3;5;8	TNRD;OSRD	 	BGxh;BGxw;ESSFdcp;IDFxw	Rock/Sparsely Vegetated Rock;Conifer Forest - Dry	Native	Regularly occurring		 	N	Y		
